name,time,b,c,d,w,f,g,h,i,j,k,l
WC-1,1,13.5 ,7.59,687.7,9.15,0.8,2.12 ,4.81,0.082 ,84.917,39.9,13
WC-2,1,15.7 ,7.54,3295,8.28,0.6,1.45 ,5.26,0.102 ,618.994,570.9,3.6
WC-3,1,14.6 ,7.88,3187,9.75,0.8,1.68 ,5.48,0.082 ,593.5,569.5,4
WC-4,1,14.1 ,8.13,2824,10.13,1.2,2.26 ,5.44,0.106 ,519.797,420.6,7.2
WC-5,1,14.1 ,8.12,2808,10.39,1.4,2.30 ,5.01,0.150 ,509.232,371.2,5.2
WC-6,1,14.7 ,7.44,1364,8.76,1.5,2.50 ,5.5,0.210 ,226.848,126.0,5.2
WC-7,1,15.3 ,7.34,1126,8.45,2,3.01 ,6.614,0.280 ,199.596,80.6,16
WC-1,2,21.9,8.31,430.3,8.09,1.32,1.8,1.95,0.043 ,56.0,39.9,8.8 
WC-2,2,26.8,7.98,3188,7.94,1.56,0.9,2.526,0.018 ,596.5,570.9,12.4 
WC-3,2,29.5,7.8,2975,8.2,1.74,2.8,1.948,0.022 ,570.4,569.5,12.8 
WC-4,2,27.0,8.1,2425,8.25,1.58,2.0,2.909,0.060 ,441.9,420.6,8.8 
WC-5,2,26.0,8.2,2210,8.3,1.38,1.8,3.528,0.052 ,408.3,371.2,9.6 
WC-6,2,25.1,8.11,946.7,8.17,1.38,2.0,3.852,0.095 ,151.1,126.0,8.8 
WC-7,2,23.4,7.8,734,6.6,1.04,2.8,5.011,0.254 ,104.1,80.6,26.0 
WC-1,3,21.9,8.0,547.0,9.3,2.96,6.937,1.88 ,0.045 ,71.62,43.70,13.6
WC-2,3,26.8,7.5,3060.0,11.8,1.72,5.818,3.63 ,0.047 ,415.73,489.53,10
WC-3,3,29.5,7.7,3065.0,8.3,1.72,3.313,2.25 ,0.080 ,555.66,729.13,16.4
WC-4,3,27.0,7.9,2220.0,8.3,2.08,5.11,2.16 ,0.068 ,435.24,464.13,13.6
WC-5,3,26.0,7.3,1050.0,7.5,1.92,5.455,2.89 ,0.089 ,189.26,174.06,10.4
WC-6,3,25.1,7.6,976.4,7.6,3.36,6.061,2.79 ,0.132 ,146.07,126.72,10.8
WC-7,3,23.4,7.7,1001.0,8.3,3.58,6.421,3.13 ,0.109 ,127.59,25.44,18.8
WC-1,4,8.7 ,8.3,649.0,11.9,0.8,5.485,3.22 ,0.056 ,75.36,77.278,18.712
WC-2,4,11.3 ,7.5,2970.0,9.5,0.6,3.712,2.83 ,0.026 ,423.10,512.019,8.616
WC-3,4,11.7 ,7.5,3279.0,9.9,0.8,3.187,2.60 ,0.022 ,489.29,496.317,11.32
WC-4,4,9.3 ,7.7,2570.0,11.1,1.2,3.937,2.36 ,0.063 ,390.67,431.961,10.632
WC-5,4,12.0 ,7.0,1206.0,9.8,1.4,4.714,4.10 ,0.046 ,164.78,420.835,9.296
WC-6,4,10.1 ,7.1,1302.0,11.1,1.5,5.263,2.94 ,0.083 ,175.28,174.084,13.848
WC-7,4,8.8 ,7.5,1194.0,10.7,2,8.323,3.92 ,0.056 ,154.16,145.518,13.936
